series_id,title,frequency,units
A006RE1Q156NBEA,Shares of gross domestic product: Gross private domestic investment,Quarterly,Percent
A053RC1Q027SBEA,National income: Corporate profits before tax (without IVA and CCAdj),Quarterly,Billions of Dollars
A072RC1Q156SBEA,Personal saving as a percentage of disposable personal income,Quarterly,Percent
A091RC1Q027SBEA,Federal government current expenditures: Interest payments,Quarterly,Billions of Dollars
A191RI1Q225SBEA,Gross Domestic Product: Implicit Price Deflator,Quarterly,Percent Change from Preceding Period
A191RO1Q156NBEA,Real Gross Domestic Product,Quarterly,Percent Change from Quarter One Year Ago
A191RP1Q027SBEA,Gross Domestic Product,Quarterly,Percent Change from Preceding Period
A229RX0,Real Disposable Personal Income: Per Capita,Monthly,Chained 2017 Dollars
A261RL1Q225SBEA,Real Gross Domestic Income,Quarterly,Percent Change from Preceding Period
A31ANO,Manufacturers' New Orders: Iron and Steel Mills and Ferroalloy and Steel Product Manufacturing,Monthly,Millions of Dollars
A31SNO,Manufacturers' New Orders: Primary Metals,Monthly,Millions of Dollars
A32SNO,Manufacturers' New Orders: Fabricated Metal Products,Monthly,Millions of Dollars
A33CNO,Manufacturers' New Orders: Construction Machinery Manufacturing,Monthly,Millions of Dollars
A33SNO,Manufacturers' New Orders: Machinery,Monthly,Millions of Dollars
A34SNO,Manufacturers' New Orders: Computers and Electronic Products,Monthly,Millions of Dollars
A35SNO,"Manufacturers' New Orders: Electrical Equipment, Appliances and Components",Monthly,Millions of Dollars
A36SNO,Manufacturers' New Orders: Transportation Equipment,Monthly,Millions of Dollars
A37SNO,Manufacturers' New Orders: Furniture and Related Products,Monthly,Millions of Dollars
A792RC0Q052SBEA,Personal income per capita,Quarterly,Dollars
A939RC0Q052SBEA,Gross domestic product per capita,Quarterly,Dollars
A939RX0Q048SBEA,Real gross domestic product per capita,Quarterly,Chained 2017 Dollars
AAA,Moody's Seasoned Aaa Corporate Bond Yield,Monthly,Percent
AB1020AAAMT,"Total Value of Issues, with a Maturity Between 10 and 20 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Millions of Dollars
AB1020AAVOL,"Number of Issues, with a Maturity Between 10 and 20 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Number
AB14AAAMT,"Total Value of Issues, with a Maturity Between 1 and 4 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Millions of Dollars
AB14AAVOL,"Number of Issues, with a Maturity Between 1 and 4 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Number
AB2140AAAMT,"Total Value of Issues, with a Maturity Between 21 and 40 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Millions of Dollars
AB2140AAVOL,"Number of Issues, with a Maturity Between 21 and 40 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Number
AB4180AAAMT,"Total Value of Issues, with a Maturity Between 41 and 80 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Millions of Dollars
AB4180AAVOL,"Number of Issues, with a Maturity Between 41 and 80 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Number
AB59AAAMT,"Total Value of Issues, with a Maturity Between 5 and 9 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Millions of Dollars
AB59AAVOL,"Number of Issues, with a Maturity Between 5 and 9 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Number
ABGT80AAAMT,"Total Value of Issues, with a Maturity Greater Than 80 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Millions of Dollars
ABGT80AAVOL,"Number of Issues, with a Maturity Greater Than 80 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates",Daily,Number
ACDGNO,Manufacturers' New Orders: Consumer Durable Goods,Monthly,Millions of Dollars
ACMSNO,Manufacturers' New Orders: Construction Materials and Supplies,Monthly,Millions of Dollars
ACOGNO,Manufacturers' New Orders: Consumer Goods,Monthly,Millions of Dollars
ACTLISCOU12420,"Housing Inventory: Active Listing Count in Austin-Round Rock, TX (CBSA)",Monthly,Level
ACTLISCOU19100,"Housing Inventory: Active Listing Count in Dallas-Fort Worth-Arlington, TX (CBSA)",Monthly,Level
ACTLISCOU38060,"Housing Inventory: Active Listing Count in Phoenix-Mesa-Scottsdale, AZ (CBSA)",Monthly,Level
ACTLISCOUCA,Housing Inventory: Active Listing Count in California,Monthly,Level
ACTLISCOUFL,Housing Inventory: Active Listing Count in Florida,Monthly,Level
ACTLISCOUUS,Housing Inventory: Active Listing Count in the United States,Monthly,Level
ADEFNO,Manufacturers' New Orders: Defense Capital Goods,Monthly,Millions of Dollars
ADXDNO,Manufacturers' New Orders: Durable Goods Excluding Defense,Monthly,Millions of Dollars
ADXTNO,Manufacturers' New Orders: Durable Goods Excluding Transportation,Monthly,Millions of Dollars
AITINO,Manufacturers' New Orders: Information Technology Industries,Monthly,Millions of Dollars
AMTMNO,Manufacturers' New Orders: Total Manufacturing,Monthly,Millions of Dollars
AMTUNO,Manufacturers' New Orders: Manufacturing with Unfilled Orders,Monthly,Millions of Dollars
AMVPNO,Manufacturers' New Orders: Motor Vehicles and Parts,Monthly,Millions of Dollars
ANDENO,Manufacturers' New Orders: Nondefense Capital Goods,Monthly,Millions of Dollars
ANFCI,Chicago Fed Adjusted National Financial Conditions Index,"Weekly, Ending Friday",Index
ASPUS,Average Sales Price of Houses Sold for the United States,Quarterly,Dollars
ATCGNO,Manufacturers' New Orders: Capital Goods,Monthly,Millions of Dollars
BAA,Moody's Seasoned Baa Corporate Bond Yield,Monthly,Percent
BABANAICSRETSAUS,Business Applications: Retail Trade in the United States,Monthly,Number
BAMLC0A1CAAAEY,ICE BofA AAA US Corporate Index Effective Yield,"Daily, Close",Percent
